customer_id,first_name,last_name,dob,gender,pan_number,phone,email,created_at
C00000,Priyansh,Sen,25-07-1992,F,EKWWM3605C,7701078723,priyansh.sen@hotmail.com,20-02-2024
C00001,Arnav,Gopal,25-02-1955,F,LAMNS5194V,8280760440,arnav.gopal@yahoo.com,03-01-2026
C00002,Taimur,Agarwal,06-03-1968,M,CZWTA3475S,8763831939,taimur.agarwal@yahoo.com,05-02-2026
C00003,Anahita,Sidhu,20-01-1948,F,PCUHN2931K,8531381149,anahita.sidhu@hotmail.com,15-12-2024
C00004,Inaaya ,Gokhale,21-08-1953,F,VZNXC6565R,7822514419,inaaya .gokhale@gmail.com,18-02-2026
C00005,Alisha,Ratta,04-05-1978,M,IZLEE2758D,7137291590,alisha.ratta@yahoo.com,28-09-2025
C00006,Aaina,Dube,15-09-1999,F,IJTCA8741J,9371820162,aaina.dube@yahoo.com,17-09-2022
C00007,Aradhya,Swamy,01-03-1969,F,QZLRV9052G,7713507492,aradhya.swamy@hotmail.com,06-11-2022
C00008,Biju,Zacharia,31-10-1978,F,LYIEA1554N,8890939300,biju.zacharia@gmail.com,07-02-2026
C00009,Miraya,Divan,25-03-1984,M,KRPSM3317S,9248084760,miraya.divan@gmail.com,15-06-2025
C00010,Aarna,Mannan,29-03-1984,M,JYTWO2776I,8087306894,aarna.mannan@yahoo.com,05-08-2025
C00011,Nirvaan,Karnik,13-08-1960,M,WGYYG2403X,9097622203,nirvaan.karnik@gmail.com,10-10-2024
C00012,Pranay,Dutt,16-04-1998,F,BSYXE5830I,9887639791,pranay.dutt@yahoo.com,30-12-2024
C00013,Nirvi,Kala,23-01-1950,M,LZPCU2334R,9206652976,nirvi.kala@yahoo.com,22-02-2026
C00014,Taran,Doctor,31-10-2006,M,HTHHB5699Y,7101231794,taran.doctor@gmail.com,09-10-2023
C00015,Abram,Tailor,11-03-1962,F,LWBWW8425S,8719714944,abram.tailor@gmail.com,26-11-2021
C00016,Zoya,Mani,20-09-1976,F,CZQJY8650N,7391845697,zoya.mani@gmail.com,23-11-2023
C00017,Seher,Kara,27-12-1971,F,YCJYR4445T,9119743297,seher.kara@hotmail.com,19-01-2024
C00018,Dishani,Andra,16-02-1952,M,UKABE8814Q,7768820732,dishani.andra@yahoo.com,12-11-2023
C00019,Nitya,Tara,05-06-1955,M,ESXES3361J,8819946932,nitya.tara@gmail.com,28-08-2022
C00020,Hiran,Devan,16-11-1993,F,OMQTA7624S,8076506225,hiran.devan@gmail.com,16-10-2023
C00021,Uthkarsh,Sharaf,10-11-1967,F,WSSWB1502D,7894179544,uthkarsh.sharaf@gmail.com,04-05-2021
C00022,Vihaan,Dalal,19-04-1979,F,PKBVD1043E,9649846907,vihaan.dalal@yahoo.com,07-06-2022
C00023,Suhana,Zachariah,10-08-1991,F,TMGJE9836M,8367881685,suhana.zachariah@hotmail.com,19-11-2023
C00024,Anahi,Borde,24-03-1962,M,DZSNS7012H,9169996145,anahi.borde@hotmail.com,21-03-2026
C00025,Madhup,Barad,16-09-1981,M,IZOZK2145J,8452682551,madhup.barad@hotmail.com,10-10-2023
C00026,Aarav,Lal,25-01-2002,F,YVVWL9383X,9604979010,aarav.lal@yahoo.com,28-12-2021
C00027,Samarth,Tank,09-02-1947,M,GASOO6517R,8901270037,samarth.tank@gmail.com,27-02-2023
C00028,Pihu,Manda,16-03-1965,F,VMEOB2319S,8366878375,pihu.manda@hotmail.com,18-11-2021
C00029,Indrans,Sastry,11-12-1963,F,EDBRX8918Y,7130541806,indrans.sastry@gmail.com,24-09-2023
